TIMESTAMP,CARS_ID,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1.50E+12,carID1,100,79,49.80%,31.00%,,1069,58,4.63,,43,,4,,,0:02:55,25%,MIL is OFF0 codes,,59.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,50.60%,32.20%,,1034,47,4.61,,44,,0,,,0:03:03,25%,MIL is OFF0 codes,,53.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.80%,30.20%,,1013,47,4.28,,44,,0,,,0:03:11,24%,MIL is OFF0 codes,,58.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.80%,29.00%,,1010,47,4.07,,45,,0,,,0:03:19,24%,MIL is OFF0 codes,,56.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.40%,29.00%,,1004,46,4.07,,45,,0,,,0:03:27,24%,MIL is OFF0 codes,,56.10%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.40%,29.00%,,1005,47,4.11,,46,,0,,,0:03:35,24%,MIL is OFF0 codes,,58.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,29.00%,,1015,45,4.09,,47,,0,,,0:03:43,24%,MIL is OFF0 codes,,58.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,29.00%,,1013,47,4.1,,47,,0,,,0:03:51,24%,MIL is OFF0 codes,,57.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,29.40%,,1000,46,4.2,,48,,0,,,0:03:59,24%,MIL is OFF0 codes,,58.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,29.40%,,1012,46,4.14,,48,,0,,,0:04:07,24%,MIL is OFF0 codes,,58.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,29.00%,,1005,46,4.13,,49,,0,,,0:04:15,24%,MIL is OFF0 codes,,58.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,30.20%,,1002,45,4.17,,49,,0,,,0:04:23,24%,MIL is OFF0 codes,,57.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,29.80%,,999,46,4.11,,50,,0,,,0:04:31,24%,MIL is OFF0 codes,,57.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,29.80%,,1000,45,4.14,,50,,0,,,0:04:39,24%,MIL is OFF0 codes,,57.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,31.40%,,1002,45,4.29,,51,,0,,,0:04:47,25%,MIL is OFF0 codes,,57.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,30.60%,,1002,45,4.29,,51,,0,,,0:04:55,24%,MIL is OFF0 codes,,58.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,31.00%,,989,45,4.18,,51,,0,,,0:05:03,24%,MIL is OFF0 codes,,56.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,30.60%,,1012,47,4.21,,52,,0,,,0:05:11,24%,MIL is OFF0 codes,,56.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,30.60%,,1004,47,4.26,,52,,0,,,0:05:19,24%,MIL is OFF0 codes,,56.10%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,30.20%,,1004,45,4.25,,52,,0,,,0:05:27,24%,MIL is OFF0 codes,,59.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,29.80%,,1010,46,4.18,,53,,0,,,0:05:35,24%,MIL is OFF0 codes,,55.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,30.20%,,1003,78,4.18,,53,,9,,,0:05:43,24%,MIL is OFF0 codes,,56.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,47.10%,25.50%,,1139,47,4.25,,53,,4,,,0:05:51,25%,MIL is OFF0 codes,,71.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,27.10%,,1124,46,4.33,,53,,0,,,0:05:59,24%,MIL is OFF0 codes,,57.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,47.10%,29.80%,,1001,47,4.14,,53,,0,,,0:06:07,24%,MIL is OFF0 codes,,56.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,47.80%,30.60%,,999,47,4.18,,53,,0,,,0:06:15,24%,MIL is OFF0 codes,,58.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,48.60%,30.60%,,1005,47,4.24,,53,,0,,,0:06:23,24%,MIL is OFF0 codes,,57.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.00%,29.80%,,1003,46,4.12,,54,,0,,,0:06:31,24%,MIL is OFF0 codes,,57.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.40%,30.20%,,1007,47,4.09,,54,,0,,,0:06:39,24%,MIL is OFF0 codes,,56.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.40%,30.20%,,1006,47,4.15,,54,,0,,,0:06:47,24%,MIL is OFF0 codes,,58.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.80%,30.20%,,1015,48,4.19,,55,,0,,,0:06:56,24%,MIL is OFF0 codes,,57.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.80%,30.20%,,1015,45,4.18,,55,,0,,,0:07:03,24%,MIL is OFF0 codes,,58.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.80%,30.20%,,1010,47,4.17,,55,,0,,,0:07:12,24%,MIL is OFF0 codes,,57.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.80%,30.20%,,998,46,4.17,,55,,0,,,0:07:19,24%,MIL is OFF0 codes,,55.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.80%,30.20%,,1009,47,4.15,,56,,0,,,0:07:27,24%,MIL is OFF0 codes,,56.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.80%,30.20%,,995,46,4.14,,56,,0,,,0:07:36,24%,MIL is OFF0 codes,,57.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.80%,30.20%,,1007,45,4.13,,56,,0,,,0:07:44,24%,MIL is OFF0 codes,,56.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.80%,30.20%,,1012,46,4.14,,56,,0,,,0:07:52,24%,MIL is OFF0 codes,,56.10%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.80%,30.20%,,1005,47,4.08,,56,,0,,,0:07:59,24%,MIL is OFF0 codes,,56.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.80%,29.40%,,995,46,4.05,,57,,0,,,0:08:07,24%,MIL is OFF0 codes,,56.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.80%,30.20%,,1007,46,4.15,,57,,0,,,0:08:15,24%,MIL is OFF0 codes,,56.10%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.80%,29.80%,,1003,45,4.15,,57,,0,,,0:08:23,24%,MIL is OFF0 codes,,56.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.80%,30.20%,,1024,65,4.23,,57,,6,,,0:08:32,24%,MIL is OFF0 codes,,58.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.40%,34.10%,,1072,41,5.02,,57,,5,,,0:08:40,26%,MIL is OFF0 codes,,56.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,49.40%,35.70%,,1012,46,4.94,,58,,0,,,0:08:48,26%,MIL is OFF0 codes,,48.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,48.20%,29.80%,,1014,47,4.14,,58,,0,,,0:08:56,24%,MIL is OFF0 codes,,57.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,48.20%,30.60%,,1014,50,4.17,,58,,0,,,0:09:04,24%,MIL is OFF0 codes,,56.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,48.60%,30.60%,,1017,46,4.16,,58,,0,,,0:09:11,24%,MIL is OFF0 codes,,55.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,48.60%,30.20%,,1015,47,4.51,,59,,0,,,0:09:20,25%,MIL is OFF0 codes,,58.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,48.60%,30.20%,,1007,47,4.09,,59,,0,,,0:09:28,24%,MIL is OFF0 codes,,58.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,48.60%,30.60%,,994,47,4.17,,59,,0,,,0:09:35,24%,MIL is OFF0 codes,,56.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,48.60%,29.80%,,1014,45,4.15,,59,,0,,,0:09:43,24%,MIL is OFF0 codes,,58.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,47.50%,57.60%,,994,37,7.51,,59,,9,,,0:09:52,30%,MIL is OFF0 codes,,51.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,47.10%,25.50%,,1162,49,4.04,,59,,0,,,0:10:00,24%,MIL is OFF0 codes,,67.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,47.80%,29.40%,,1016,46,4.1,,59,,0,,,0:10:07,24%,MIL is OFF0 codes,,58.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,48.60%,30.60%,,1004,45,4.23,,59,,0,,,0:10:16,24%,MIL is OFF0 codes,,57.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,49.00%,31.80%,,1011,46,4.39,,60,,0,,,0:10:24,25%,MIL is OFF0 codes,,56.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,48.60%,52.50%,,1064,60,7.29,,60,,5,,,0:10:32,30%,MIL is OFF0 codes,,52.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,45.10%,37.60%,,1370,79,8.27,,61,,19,,,0:10:40,30%,MIL is OFF0 codes,,63.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,44.30%,26.30%,,1302,63,5.22,,60,,25,,,0:10:49,26%,MIL is OFF0 codes,,68.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,51.00%,28.60%,,1109,56,4.62,,59,,19,,,0:10:57,26%,MIL is OFF0 codes,,65.10%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,44.70%,24.70%,,1274,32,4.37,,58,,28,,,0:11:05,25%,MIL is OFF0 codes,,57.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,45.10%,23.10%,,1293,38,4.29,,57,,23,,,0:11:13,25%,MIL is OFF0 codes,,59.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,46.30%,27.50%,,1165,40,4.43,,56,,16,,,0:11:21,25%,MIL is OFF0 codes,,58.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,46.70%,24.70%,,1171,39,3.98,,56,,8,,,0:11:29,24%,MIL is OFF0 codes,,65.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,40.80%,18.40%,,1507,54,9.83,,55,,28,,,0:11:37,33%,MIL is OFF0 codes,,67.10%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,36.90%,21.60%,,2208,26,7.09,,54,,25,,,0:11:45,29%,MIL is OFF0 codes,,77.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,78,36.90%,44.70%,,2264,78,7.45,,54,,33,,,0:11:56,27%,MIL is OFF0 codes,,67.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,36.50%,47.50%,,1950,41,11.37,,52,,40,,,0:12:04,32%,MIL is OFF0 codes,,67.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,80,36.90%,36.90%,,1487,58,8.48,,51,,36,,,0:12:12,30%,MIL is OFF0 codes,,69.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,80,35.70%,32.90%,,1500,53,6.91,,50,,39,,,0:12:20,29%,MIL is OFF0 codes,,70.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,80,34.50%,18.40%,,1347,29,3.45,,50,,42,,,0:12:28,23%,MIL is OFF0 codes,,52.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,80,34.90%,18.00%,,1253,64,3.22,,50,,39,,,0:12:36,22%,MIL is OFF0 codes,,54.10%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,80,35.70%,40.00%,,1429,54,8.07,,48,,48,,,0:12:44,30%,MIL is OFF0 codes,,66.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,80,37.30%,31.80%,,1630,47,7.46,,47,,51,,,0:12:52,29%,MIL is OFF0 codes,,70.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,80,38.00%,31.40%,,1682,48,7.72,,47,,51,,,0:13:00,29%,MIL is OFF0 codes,,71.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,80,38.00%,17.60%,,1497,30,3.71,,47,,37,,,0:13:08,23%,MIL is OFF0 codes,,55.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,80,38.00%,20.00%,,1081,33,3.04,,47,,8,,,0:13:16,22%,MIL is OFF0 codes,,62.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,81,39.20%,24.30%,,970,43,3.6,,46,,15,,,0:13:24,23%,MIL is OFF0 codes,,59.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,80,37.60%,31.40%,,1863,31,4.72,,46,,25,,,0:13:32,25%,MIL is OFF0 codes,,72.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,81,46.70%,18.40%,,1166,32,2.96,,46,,11,,,0:13:40,22%,MIL is OFF0 codes,,59.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,81,50.60%,20.00%,,1077,35,2.99,,46,,9,,,0:13:48,22%,MIL is OFF0 codes,,62.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,82,48.60%,19.20%,,1105,35,3.08,,46,,8,,,0:13:56,22%,MIL is OFF0 codes,,49.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,83,45.50%,24.30%,,1046,37,3.5,,46,,4,,,0:14:04,23%,MIL is OFF0 codes,,61.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,83,43.90%,20.80%,,1082,57,3.55,,45,,5,,,0:14:12,23%,MIL is OFF0 codes,,47.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,84,41.20%,27.10%,,1412,48,5.36,,45,,21,,,0:14:20,26%,MIL is OFF0 codes,,62.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,85,38.40%,16.10%,,2205,54,5.07,,44,,34,,,0:14:28,25%,MIL is OFF0 codes,,66.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,86,36.50%,17.30%,,1835,28,4.74,,43,,40,,,0:14:38,24%,MIL is OFF0 codes,,70.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,87,38.80%,19.60%,,1071,28,2.99,,44,,28,,,0:14:49,22%,MIL is OFF0 codes,,64.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,86,38.40%,17.30%,,1329,89,3.24,,42,,27,,,0:14:57,23%,MIL is OFF0 codes,,68.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,86,36.10%,43.50%,,1903,43,10.48,,41,,33,,,0:15:09,31%,MIL is OFF0 codes,,68.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,87,30.20%,16.10%,,1781,53,4.25,,40,,42,,,0:15:20,24%,MIL is OFF0 codes,,48.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,87,35.70%,20.00%,,2405,42,7.04,,40,,48,,,0:15:29,29%,MIL is OFF0 codes,,79.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,87,44.70%,16.50%,,1520,77,3.6,,39,,35,,,0:15:40,23%,MIL is OFF0 codes,,51.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,87,37.30%,27.80%,,2503,30,9.67,,38,,49,,,0:15:50,30%,MIL is OFF0 codes,,72.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,88,35.30%,20.00%,,1668,27,4.84,,39,,46,,,0:16:02,25%,MIL is OFF0 codes,,75.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,87,37.60%,24.70%,,1008,67,3.46,,39,,32,,,0:16:13,23%,MIL is OFF0 codes,,66.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,87,38.00%,20.00%,,1081,34,2.99,,39,,22,,,0:16:25,22%,MIL is OFF0 codes,,61.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,87,36.50%,18.00%,,1091,32,2.9,,39,,13,,,0:16:36,22%,MIL is OFF0 codes,,63.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,88,41.60%,19.20%,,1108,32,2.98,,39,,18,,,0:16:47,22%,MIL is OFF0 codes,,62.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,89,46.30%,20.00%,,1078,78,3.02,,38,,15,,,0:16:59,22%,MIL is OFF0 codes,,63.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,89,44.70%,30.20%,,1398,34,6.51,,38,,32,,,0:17:09,28%,MIL is OFF0 codes,,67.10%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,90,41.60%,33.30%,,1908,65,9.79,,36,,46,,,0:17:17,32%,MIL is OFF0 codes,,72.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,90,40.40%,39.20%,,2567,51,15.35,,36,,48,,,0:17:25,33%,MIL is OFF0 codes,,69.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,90,43.10%,32.90%,,2349,51,11.42,,35,,45,,,0:17:33,31%,MIL is OFF0 codes,,72.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,90,50.20%,16.10%,,2050,25,5,,36,,33,,,0:17:42,25%,MIL is OFF0 codes,,51.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,91,50.60%,16.10%,,1732,26,4.08,,36,,32,,,0:17:50,23%,MIL is OFF0 codes,,48.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,91,53.70%,17.30%,,1252,31,3.02,,37,,6,,,0:17:57,22%,MIL is OFF0 codes,,54.10%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,91,51.80%,31.80%,,1649,52,8.11,,37,,20,,,0:18:05,30%,MIL is OFF0 codes,,71.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,92,47.50%,18.40%,,1822,25,5.03,,37,,19,,,0:18:14,26%,MIL is OFF0 codes,,76.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,93,49.00%,37.30%,,1696,26,10.27,,36,,32,,,0:18:21,31%,MIL is OFF0 codes,,70.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,93,45.50%,27.50%,,1989,47,7.84,,36,,45,,,0:18:29,29%,MIL is OFF0 codes,,75.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,94,40.00%,16.10%,,2400,26,5.83,,36,,40,,,0:18:37,26%,MIL is OFF0 codes,,79.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,94,46.70%,15.70%,,2350,46,5.62,,35,,51,,,0:18:46,26%,MIL is OFF0 codes,,70.60%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,93,49.80%,27.10%,,1660,26,6.54,,36,,47,,,0:18:54,26%,MIL is OFF0 codes,,72.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,92,38.00%,57.30%,,1482,36,13.21,,35,,38,,,0:19:02,35%,MIL is OFF0 codes,,62.40%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,91,35.70%,20.80%,,1332,45,4.06,,36,,20,,,0:19:10,24%,MIL is OFF0 codes,,62.70%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,90,38.00%,36.10%,,989,50,5.17,,36,,0,,,0:19:18,26%,MIL is OFF0 codes,,58.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,89,36.50%,31.80%,,1005,49,4.62,,37,,0,,,0:19:26,25%,MIL is OFF0 codes,,55.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,89,35.70%,32.90%,,1006,50,4.72,,38,,0,,,0:19:33,25%,MIL is OFF0 codes,,57.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,88,34.90%,32.20%,,1007,32,5.08,,40,,16,,,0:19:42,29%,MIL is OFF0 codes,,57.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,88,33.30%,56.10%,,2241,77,18.61,,42,,38,,,0:19:50,35%,MIL is OFF0 codes,,66.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,88,32.20%,17.60%,,1614,26,4.2,,42,,39,,,0:19:58,26%,MIL is OFF0 codes,,74.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,88,33.30%,25.90%,,1132,42,4.21,,41,,8,,,0:20:06,24%,MIL is OFF0 codes,,60.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,87,34.90%,31.80%,,1055,48,4.69,,42,,0,,,0:20:14,25%,MIL is OFF0 codes,,53.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,87,34.10%,52.20%,,1009,60,7.66,,43,,14,,,0:20:22,31%,MIL is OFF0 codes,,52.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,86,40.80%,40.40%,,1581,40,9.1,,44,,17,,,0:20:30,31%,MIL is OFF0 codes,,67.80%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,86,38.40%,42.40%,,1392,42,6.98,,44,,20,,,0:20:38,29%,MIL is OFF0 codes,,63.50%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,86,36.10%,29.80%,,1835,25,7.95,,46,,22,,,0:20:46,29%,MIL is OFF0 codes,,74.10%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,85,37.30%,26.30%,,1146,47,4.11,,45,,0,,,0:20:54,24%,MIL is OFF0 codes,,60.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,85,39.20%,50.60%,,1129,41,8.4,,46,,9,,,0:21:02,30%,MIL is OFF0 codes,,64.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,84,40.80%,29.40%,,1102,43,4.39,,47,,3,,,0:21:10,25%,MIL is OFF0 codes,,59.20%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,84,39.20%,27.10%,,1108,50,4.37,,48,,0,,,0:21:18,25%,MIL is OFF0 codes,,58.00%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,84,37.30%,31.40%,,1012,46,4.3,,48,,0,,,0:21:27,25%,MIL is OFF0 codes,,57.30%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,84,35.30%,31.00%,,1010,46,4.34,,49,,0,,,0:21:35,25%,MIL is OFF0 codes,,55.70%,1.00%,0,19,2,8,2017
